"filename", "language", "CSS", "JavaScript", "XML", "Markdown", "JSON", "JSON with Comments", "comment", "blank", "total"
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userServices\updateUserService\MobileUpdateUserService.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 3, 132
"d:\Project\AdminPanel\admin-pannel\src\components\userManagement\ShowUser\userServices\updateUserService\TabletUpdateUserService.js", "JavaScript", 0, 139, 0, 0, 0, 0, 0, 2, 141
"d:\Project\AdminPanel\admin-pannel\src\container\layout\DesktopLayout\DesktopHeader.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 3, 26
"d:\Project\AdminPanel\admin-pannel\src\container\layout\DesktopLayout\DesktopSideBar.js", "JavaScript", 0, 332, 0, 0, 0, 0, 0, 2, 334
"d:\Project\AdminPanel\admin-pannel\src\container\layout\MobileAndTabletLayout\MobileAndTabletMenu.js", "JavaScript", 0, 309, 0, 0, 0, 0, 0, 4, 313
"d:\Project\AdminPanel\admin-pannel\src\container\layout\MobileAndTabletLayout\TabletAndMobileHeader.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 2, 44
"d:\Project\AdminPanel\admin-pannel\src\container\layout\index.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 2, 46
"d:\Project\AdminPanel\admin-pannel\src\pages\404.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 3, 53
"d:\Project\AdminPanel\admin-pannel\src\pages\_app.js", "JavaScript", 0, 49, 0, 0, 0, 0, 2, 5, 56
"d:\Project\AdminPanel\admin-pannel\src\pages\_document.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\adminUser\changePassword\index.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 3, 81
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\adminUser\resetPassword\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 3, 19
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\callServices\index.js", "JavaScript", 0, 137, 0, 0, 0, 0, 0, 3, 140
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\card\devices\index.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\card\keys\index.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 4, 85
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\financial\accumulativeFinancialReports\index.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 3, 143
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\financial\financialReports\index.js", "JavaScript", 0, 132, 0, 0, 0, 0, 0, 3, 135
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\financial\increaseCustomerCredit\index.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 2, 34
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\loginReports\index.js", "JavaScript", 0, 98, 0, 0, 0, 0, 0, 3, 101
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\serviceManagement\addServiceGroup\index.js", "JavaScript", 0, 133, 0, 0, 0, 0, 0, 3, 136
"d:\Project\AdminPanel\admin-pannel\src\pages\adminPanel\serviceManagement\addService\index.js", "JavaScript", 0, 138, 0, 0, 0, 0, 0, 3, 141
